Sex,Agemos,L,M,S,P3,P5,P10,P25,P50,P75,P90,P95,P97
2,0,−1.79696,50.05623,5.05E-02,45.85006,46.32385,47.08092,48.42694,50.05623,51.84872,53.62516,54.77315,55.55653
2,1,−1.842832,53.27436,5.13E-02,48.74808,49.25639,50.06941,51.51734,53.27436,55.2132,57.14097,58.39024,59.24436
2,2,−1.845567,56.38081,5.20E-02,51.53411,52.07761,52.94731,54.49747,56.38081,58.462,60.53452,61.87936,62.79962
2,3,−1.775015,59.2659,5.26E-02,54.10344,54.68305,55.61021,57.26163,59.2659,61.47777,63.67705,65.10221,66.07652
2,4,−1.609874,61.88437,5.31E-02,56.41,57.02762,58.01406,59.76633,61.88437,64.21018,66.50998,67.99314,69.00376
2,5,−1.33159,64.21529,5.35E-02,58.4281,59.08714,60.13661,61.99107,64.21529,66.63494,69.00314,70.51718,71.54276
2,6,−0.9020513,66.25065,5.38E-02,60.13552,60.84292,61.96365,63.92651,66.25065,68.74095,71.13932,72.6522,73.66788
2,7,−0.3320158,68.00546,5.40E-02,61.53858,62.30359,63.50653,65.58656,68.00546,70.54465,72.93909,74.42406,75.41006
2,8,0.2951314,69.53802,0.054174,62.70368,63.53384,64.82722,67.02967,69.53802,72.11181,74.48507,75.9314,76.88123
2,9,0.8924165,70.91734,5.43E-02,63.71672,64.61543,66.00188,68.32556,70.91734,73.51936,75.86977,77.28016,78.1976
2,10,1.390615,72.21104,5.44E-02,64.66755,65.63213,67.10667,69.54282,72.21104,74.8413,77.17808,78.56339,79.45796
2,11,1.745711,73.45828,5.45E-02,65.61935,66.64018,68.18967,70.72186,73.45828,76.1207,78.45892,79.83369,80.71712
2,12,1.926729,74.66323,5.45E-02,66.60333,67.66315,69.26563,71.86928,74.66323,77.36349,79.72119,81.10176,81.98679
2,13,1.923373,75.81322,5.46E-02,67.625,68.70153,70.32938,72.97448,75.81322,78.55703,80.95297,82.35602,83.2555
2,14,1.779328,76.89892,5.46E-02,68.65907,69.73411,71.36467,74.0264,76.89892,79.69013,82.13869,83.57719,84.50114
2,15,1.553151,77.91551,5.46E-02,69.67156,70.73454,72.35427,75.01701,77.91551,80.75555,83.2652,84.74727,85.70213
2,16,1.291233,78.86737,5.46E-02,70.64204,71.68867,73.29165,75.94768,78.86737,81.75591,84.33047,85.86033,86.84962
2,17,1.038952,79.76918,5.46E-02,71.56141,72.59298,74.18029,76.82968,79.76918,82.70447,85.34284,86.92028,87.94412
2,18,0.8323192,80.63163,5.46E-02,72.42302,73.44459,75.02227,77.67093,80.63163,83.61068,86.30724,87.92783,88.98299
2,19,0.677285,81.46793,5.46E-02,73.23576,74.25287,75.82784,78.48323,81.46793,84.48833,87.23696,88.89543,89.97787
